16:52:25, Iteration_20190612_16_50_50,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 3.1 secs, TIME TO CONNECT: 11.54 secs, TIME TO PAIR: 4.0 secs, 
16:54:09, Iteration_20190612_16_52_30,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 5.1 secs, TIME TO CONNECT: 12.76 secs, TIME TO PAIR: 4.07 secs, 
16:55:53, Iteration_20190612_16_54_14,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 5.29 secs, TIME TO CONNECT: 12.65 secs, TIME TO PAIR: 6.25 secs, 
16:57:28, Iteration_20190612_16_55_58,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 0.99 secs, TIME TO CONNECT: 6.5 secs, TIME TO PAIR: 9.51 secs, 
16:59:11, Iteration_20190612_16_57_33,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 3.75 secs, TIME TO CONNECT: 12.88 secs, TIME TO PAIR: 4.1 secs, 
17:00:59, Iteration_20190612_16_59_16,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 4.17 secs, TIME TO CONNECT: 14.05 secs, TIME TO PAIR: 7.8 secs, 
17:02:44, Iteration_20190612_17_01_04,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 6.64 secs, TIME TO CONNECT: 13.35 secs, TIME TO PAIR: 3.57 secs, 
17:04:28, Iteration_20190612_17_02_49,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 9.71 secs, TIME TO CONNECT: 9.39 secs, TIME TO PAIR: 7.3 secs, 
17:06:35, Iteration_20190612_17_04_33,  ### VERIFICATION FAILED :: + find HP Sprocket Select (01:C2) on the page to confirm success, <FAILURE>, TIME TO SCAN: 5.46 secs, TIME TO CONNECT: 10.9 secs, TIME TO PAIR: 1.01 secs, 
17:08:30, Iteration_20190612_17_06_41,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 2.23 secs, TIME TO CONNECT: 13.8 secs, TIME TO PAIR: 7.87 secs, 
17:10:04, Iteration_20190612_17_08_36,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 1.26 secs, TIME TO CONNECT: 7.81 secs, TIME TO PAIR: 7.51 secs, 
17:11:49, Iteration_20190612_17_10_09,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 5.16 secs, TIME TO CONNECT: 12.34 secs, TIME TO PAIR: 5.34 secs, 
17:13:33, Iteration_20190612_17_11_54,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 7.81 secs, TIME TO CONNECT: 10.57 secs, TIME TO PAIR: 4.14 secs, 
17:15:21, Iteration_20190612_17_13_38,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 6.49 secs, TIME TO CONNECT: 16.64 secs, TIME TO PAIR: 4.54 secs, 
17:17:02, Iteration_20190612_17_15_26,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 4.4 secs, TIME TO CONNECT: 13.84 secs, TIME TO PAIR: 3.84 secs, 
17:18:41, Iteration_20190612_17_17_07,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 1.08 secs, TIME TO CONNECT: 10.9 secs, TIME TO PAIR: 7.39 secs, 
